noble_parliament;Estates System;;;;;;;;;;;;;x
noble_parliament_desc;The ruling powers maintain a carefully balanced system of estates to manage popular consent to governance.;;;;;;;;;;;;;x
regulated_elections;Legislative Commisions;;;;;;;;;;;;;x
regulated_elections_desc;Landowners are expected to serve in regional and national legislatures, and they tend to determine national policy.;;;;;;;;;;;;;x
approved_candidacy;Approved Candidacy;;;;;;;;;;;;;x
approved_candidacy_desc;The legislature and the cabinet only consists of delegates chosen in "elections" directed by the central government.;;;;;;;;;;;;;x
appointed_legislatures;Appointed Legislatures;;;;;;;;;;;;;x
appointed_legislatures_desc;The legislature is composed of civil servants chosen by the ruling party.;;;;;;;;;;;;;x
infrastructure;Infrastructure;;;;;;;;;;;;;x
ad_hoc_development;Ad-Hoc Development;;;;;;;;;;;;;x
ad_hoc_development_desc;There are no laws or instituions regulating or promoting infrastructure development.;;;;;;;;;;;;;x
turnpikes_n_municipal_funding;Turnpikes & Municipal Funding;;;;;;;;;;;;;x
turnpikes_n_municipal_funding_desc;Infrastructure is largely funded by regional levies and directed by local authorites.;;;;;;;;;;;;;x
monopoly_corporations;Transport Monopolies;;;;;;;;;;;;;x
monopoly_corporations_desc;Most large transport and infrastructure throughfairs are developed and operated by large public-private monopoly companies for the sake of efficiency and national interest.;;;;;;;;;;;;;x
urban_planning;Urban Planning;;;;;;;;;;;;;x
urban_planning_desc;Most large cities have regional planning authorities for rational development;;;;;;;;;;;;;x
public_works_division;Public Works Division;;;;;;;;;;;;;x
public_works_division_desc;There is a government public works division to direct and support infrastructure expansion.;;;;;;;;;;;;;x
worker_protections;Worker Protections;;;;;;;;;;;;;x
no_protections;No Protections;;;;;;;;;;;;;x
no_protections_desc;There are no worker protections;;;;;;;;;;;;;x
trinket_protections;Trinket Protections;;;;;;;;;;;;;x
trinket_protections_desc;There are trinket protections for the worker.;;;;;;;;;;;;;x
low_protections;Low Protections;;;;;;;;;;;;;x
low_protections_desc;There are low levels of protection for the worker.;;;;;;;;;;;;;x
acceptable_protections;Acceptable Protections;;;;;;;;;;;;;x
acceptable_protections_desc;There are acceptable levels of protection for the worker.;;;;;;;;;;;;;x
good_protections;Good Protections;;;;;;;;;;;;;x
good_protections_desc;There are good protections for the worker.;;;;;;;;;;;;;x
scriptural_law;Scriptural Law;;;;;;;;;;;;;x
morality_police;Morality Police;;;;;;;;;;;;;x
morality_police_desc;Morality police enforce religious legislation with wide powers.;;;;;;;;;;;;;x
courts_of_canon;Courts of Canon;;;;;;;;;;;;;x
courts_of_canon_desc;Clerical courts have the right to prosecute religious offenders and heretics.;;;;;;;;;;;;;x
freedom_of_conscience;Freedom of Conscience;;;;;;;;;;;;;x
freedom_of_conscience_desc;Subjects cannot face trial for religious views.;;;;;;;;;;;;;x
permitted_heterodoxy;Permitted Heterodoxy;;;;;;;;;;;;;x
permitted_heterodoxy_desc;Heterodox views are permitted to form organsations and churches.;;;;;;;;;;;;;x
local_congregationalism;Local Congregationalism;;;;;;;;;;;;;x
local_congregationalism_desc;Local congregations are free to endorse their own religious views.;;;;;;;;;;;;;x
social_privileges;Social Privileges;;;;;;;;;;;;;x
feudal_rights;Feudal Rights;;;;;;;;;;;;;x
feudal_rights_desc;Aristocrats have wide proprietary rights against their subjects and the government.;;;;;;;;;;;;;x
sanctioned_privileges;Sanctioned Privileges;;;;;;;;;;;;;x
sanctioned_privileges_desc;The government endorses a number of privileges held by aristocrats against the lower orders.;;;;;;;;;;;;;x
sumptuary_laws;Sumptuary Laws;;;;;;;;;;;;;x
sumptuary_laws_desc;The lower orders are prohibited from certain luxuries and conspicous consumption.;;;;;;;;;;;;;x
legal_disabilities;Legal Disabilities;;;;;;;;;;;;;x
legal_disabilities_desc;Certain castes face a number of legal restritctions.;;;;;;;;;;;;;x
equality_before_the_law;Equality Before the Law;;;;;;;;;;;;;x
equality_before_the_law_desc;The government recognises no hereditary disabilities or privileges.;;;;;;;;;;;;;x
welfare_laws;Welfare Laws;;;;;;;;;;;;;x
no_dole;No Dole;;;;;;;;;;;;;x
no_dole_desc;There are no welfare policies in the state.;;;;;;;;;;;;;x
public_granaries;Public Granaries;;;;;;;;;;;;;x
public_granaries_desc;The government maintains large public granaries to protect against famine.;;;;;;;;;;;;;x
subsidized_grain_imports;Subsidized Grain Imports;;;;;;;;;;;;;x
subsidized_grain_imports_desc;The government subsidizes large quantities of grain to reduce the price.;;;;;;;;;;;;;x
universal_grain_dole;Universal Grain Dole;;;;;;;;;;;;;x
universal_grain_dole_desc;Most major cities provide a free grain dole to paupers, invalids, and the unemployed.;;;;;;;;;;;;;x
mule_n_seed_law;Mule & Seed Law;;;;;;;;;;;;;x
mule_n_seed_law_desc;The government is commited to providing a mule and yearly grains to its paupers and peasants.;;;;;;;;;;;;;x
slavery;Slavery;;;;;;;;;;;;;x
yes_slavery;Allowed;;;;;;;;;;;;;x
yes_slavery_desc;Slavery is allowed;;;;;;;;;;;;;x
code_of_rights;Code of Rights;;;;;;;;;;;;;x
code_of_rights_desc;Slaves have some legal protections against abuse.;;;;;;;;;;;;;x
public_ownership;Public Ownership;;;;;;;;;;;;;x
public_ownership_desc;All slaves are owned by the state.;;;;;;;;;;;;;x
gradual_abolition;Gradual Abolition;;;;;;;;;;;;;x
gradual_abolition_desc;Slaves are regularly emancipated and those born to slaves are free.;;;;;;;;;;;;;x
no_slavery;Outlawed;;;;;;;;;;;;;x
no_slavery_desc;Slavery is outlawed;;;;;;;;;;;;;x
citizens_rights;Cultural Rights;;;;;;;;;;;;;x
primary_culture_only;Primary Culture Only;;;;;;;;;;;;;x
primary_culture_only_desc;Only our primary culture can vote.;;;;;;;;;;;;;x
culture_voting_only;Minority Rights;;;;;;;;;;;;;x
culture_voting_only_desc;Certain accepted minorities are allowed to participate politically.;;;;;;;;;;;;;x
all_voting_pops;All Cultures Accepted;;;;;;;;;;;;;x
all_voting_pops_desc;All cultures are allowed to participate in the political process.;;;;;;;;;;;;;x
border_policy;Immigration Law;;;;;;;;;;;;;x
closed_borders;Closed Borders;;;;;;;;;;;;;x
closed_borders_desc;The border is strictly closed to immigrants.;;;;;;;;;;;;;x
quota_immigration;Immigration Quotas;;;;;;;;;;;;;x
quota_immigration_desc;Quotas carefuly restrict the amount of immigrants.;;;;;;;;;;;;;x
open_borders;Open Borders;;;;;;;;;;;;;x
open_borders_desc;All immigrants are free to come to our country.;;;;;;;;;;;;;x
emigration_law;Emigration Law;;;;;;;;;;;;;x
emigration_forbidden;Emigration Forbidden;;;;;;;;;;;;;x
emigration_forbidden_desc;Emigration is strictly forbidden.\nEmigration Factor: §R-800%§!;;;;;;;;;;;;;x
emigration_restricted;Restricted Migration;;;;;;;;;;;;;x
emigration_restricted_desc;Certain permits allow for legal emigration.\nEmigration Factor: §R-20%§!;;;;;;;;;;;;;x
emigration_permitted;Emigration Permitted;;;;;;;;;;;;;x
emigration_permitted_desc;Emigration is unrestricted and legal.;;;;;;;;;;;;;x
clerical_law;Clerical Law;;;;;;;;;;;;;x
empowered_clergy;Empowered Clergy;;;;;;;;;;;;;x
empowered_clergy_desc;The clergy maintains an extensive private state and judiciary.;;;;;;;;;;;;;x
magisterialism;Magisterialism;;;;;;;;;;;;;x
magisterialism_desc;The state and the ecclesiastical structure meld into one.;;;;;;;;;;;;;x
anti_clericalism;Anti-Clericalism;;;;;;;;;;;;;x
anti_clericalism_desc;The state is strictly seperate from the clergy, and clerical influence is legislated against.;;;;;;;;;;;;;x
debt_law;Debt Law;;;;;;;;;;;;;x
serfdom;Serfdom;;;;;;;;;;;;;x
serfdom_desc;Those unable to pay their debts descend into hereditary, landbound servitude.;;;;;;;;;;;;;x
peonage;Peonage;;;;;;;;;;;;;x
peonage_desc;Those unable to pay their debts descend into the service of their creditor.;;;;;;;;;;;;;x
debtors_prisons;Debtors' Prisons;;;;;;;;;;;;;x
debtors_prisons_desc;Those unable to pay their debts are interned in state run labour facilities until their debts are payed.;;;;;;;;;;;;;x
bankruptcy;Bankruptcy;;;;;;;;;;;;;x
bankruptcy_desc;Those unable to pay their debts may declare bankrupty to seek relief.;;;;;;;;;;;;;x
penal_system;Penal System;;;;;;;;;;;;;x
capital_punishment;Capital Punishment;;;;;;;;;;;;;x
capital_punishment_desc;The death penalty is a legal and common punishment for certain criminals.;;;;;;;;;;;;;x
colonial_transportation;Transportation;;;;;;;;;;;;;x
colonial_transportation_desc;Transportation to colonial servitude is a common punishment for crimes.;;;;;;;;;;;;;x
incarceration;Incarceration;;;;;;;;;;;;;x
incarceration_desc;Criminals are most often interned in state prisons or dungeons.;;;;;;;;;;;;;x
rehabilitation;Rehabilitation;;;;;;;;;;;;;x
rehabilitation_desc;Criminals are directed to correctional facilities with an intention to release them after correction.;;;;;;;;;;;;;x
POLITICS_MATTERS_OF_STATE;Matters of State;;;;;;;;;;;;;x
theocracy;Theocracy;;;;;;;;;;;;;x
aristocratic_commonwealth;Aristocratic Commonwealth;;;;;;;;;;;;;x
princely_despotate;Princely Despotate;;;;;;;;;;;;;x
absolute_autocracy;Absolutist Autocracy;;;;;;;;;;;;;x
statist_bureaucracy;Statist Bureaucracy;;;;;;;;;;;;;x
sublime_synod;Sublime Synod;;;;;;;;;;;;;x
paternalistic_council;Paternalistic Council;;;;;;;;;;;;;x
ishahfazh;Ishahfazh;;;;;;;;;;;;;x
kovazh;Kovazh;;;;;;;;;;;;;x
bafozh;Bafozh;;;;;;;;;;;;;x
marsh;Swamp;;;;;;;;;;;;;x
savanna;Savanna;;;;;;;;;;;;;x
savanna_woodland;Savanna Woodland;;;;;;;;;;;;;x
plateau_mountains;Plateau Mountains;;;;;;;;;;;;;x
GG_NAME_CONS;Consolidated States;;;;;;;;;;;;;x
GG_DESC_CONS;This is a version of GGG which is less lore friendly but consolidates many of the more shattered regions to create a more player friendly experience.;;;;;;;;;;;;;x
GG_DESC;On the great plains of the continent of Ishahfazh, by the imperial reckoning, the year is 1308. For the past four hundred years, since the traumatic and prolonged shattering of the Gashdzii empire in the times of sorrow, the face of Ishahfazh has been transformed by a series of events and innovations, the implications of which are only now becoming clear. A steady trickle of exploration has mapped the world and brought more and more regions into a global market, while vicious competition, politically and economically, has driven the proliferation of new forms of economic organization and innovations. At the same time, Gashdzii society has been wracked by perennial social upheaval since the collapse of the empire. The traditional lordly and ecclesiastical domination has been steadily challenged in more unstable regions, leading to the gradual development of what has been termed the "social liberationist" movement, rejecting centralized ecclesiastical organization. This movement, already tinged with social radicalism, in recent years has taken a critically radical turn. Calling themselves "liberationists" or "free-yokers", these radicals seek to overthrow the traditional organization of society at large. Calling for the abolition of proprietary social rights, manorial society, and aristocratic privilege, they seek to establish a society that caters to the common people, and to a traditional agricultural and arcadian lifestyle. As the game begins, the states of Ishahfazh are set poised for a vast confrontation as the very fabric of society changes: the merchants and industrials of the south look to command the very planet by their clever technologies, while the social liberationists across the former empire and its peripheries look to the Sitheve liberationist state with all their hopes for a worldly paradise, and in the ancient Poumnian empire and the great Vokonazh domains of the North, the forces of reaction and aristocracy rally their armies...;x;x;;x;;;;;;;;;x
GG_NAME;Gozomedes' Great Game;;;;;;;;;;;;;x
south_gashdzii;South Gashdzii;;;;;;;;;;;;;x
west_gashdzii;West Gashdzii;;;;;;;;;;;;;x
north_gashdzii;North Gashdzii;;;;;;;;;;;;;x
shagmodt;Shagmodt;;;;;;;;;;;;;x
poumnian;Poumnian;;;;;;;;;;;;;x
hahuibi;Hahuibi;;;;;;;;;;;;;x
anuvo;Anuvo;;;;;;;;;;;;;x
ghechi;Ghechi;;;;;;;;;;;;;x
hahabi;Hahabi;;;;;;;;;;;;;x
sevuma;Sevuma;;;;;;;;;;;;;x
vupuyti;Vupuyti;;;;;;;;;;;;;x
paguyti;Paguyti;;;;;;;;;;;;;x
DIPLOMACY_FILTER_NORTH_AMERICA;Ishahfazh;;;;;;;;;;;;;
DIPLOMACY_FILTER_NORTH_AMERICA_TOOLTIP;List §YIshahfazhi§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_OCEANIA;Paukzhodo;;;;;;;;;;;;;
DIPLOMACY_FILTER_OCEANIA_TOOLTIP;List §YPaukzhodi§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_EUROPE;Bafozh;;;;;;;;;;;;;x
DIPLOMACY_FILTER_EUROPE_TOOLTIP;List §YBafozhi§W countries;;;;;;;;;;;;;x
DIPLOMACY_FILTER_SOUTH_AMERICA;Kovazh;;;;;;;;;;;;;
DIPLOMACY_FILTER_SOUTH_AMERICA_TOOLTIP;List §YKovazhi§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_ASIA;Gofakidzia;;;;;;;;;;;;;
DIPLOMACY_FILTER_ASIA_TOOLTIP;List §YGofakidzi§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_AFRICA;Shobgizob;;;;;;;;;;;;;
DIPLOMACY_FILTER_AFRICA_TOOLTIP;List §YShobgizobi§W countries;;;;;;;;;;;;;
south_america;Kovazh;;;;;;;;;;;;;x
north_america;Ishahfazh;;;;;;;;;;;;;x
asia;Gofakidzia;;;;;;;;;;;;;x
africa;Shobgizob;;;;;;;;;;;;;x
oceania;Paukzhodo;;;;;;;;;;;;;x
europe;Bafozh;;;;;;;;;;;;;x
motkohnic;Motkohnic;;;;;;;;;;;;;x
kadkohi;Kadkohi;;;;;;;;;;;;;x
pagan;Pagan;;;;;;;;;;;;;x
towuzhan;Towuzhan;;;;;;;;;;;;;x
wompowushan;Wompowushan;;;;;;;;;;;;;x
vewugi;Vewugi;;;;;;;;;;;;;x
tehuhrite;Tehuhrite;;;;;;;;;;;;;x
pruuntish;Pruuntish;;;;;;;;;;;;;x
duyo;Duyo;;;;;;;;;;;;;x
serfs;Serfs;;;;;;;;;;;;;x
thralls;Thralls;;;;;;;;;;;;;x
thesathi;Thesathi;;;;;;;;;;;;;x
unnahu;Unnahu;;;;;;;;;;;;;x
coffee;Nuddi;;;;;;;;;;;;;x
opium;Pruub;;;;;;;;;;;;;x
tobacco;Nuzhdap;;;;;;;;;;;;;x
vufami;Vufami;;;;;;;;;;;;;x
eshemi;Eshemi;;;;;;;;;;;;;x
dehuogi;Dehuogi;;;;;;;;;;;;;x
ihnthedehert;Ihnthedehert;;;;;;;;;;;;;x
chyothit;Chyothit;;;;;;;;;;;;;x
ihnpihmi;Ihnpihmi;;;;;;;;;;;;;x
sithuchi;Sithuchi;;;;;;;;;;;;;x
ihntithot;Ihntithot;;;;;;;;;;;;;x
takemoujoy;Takemoujoy;;;;;;;;;;;;;x
tufume;Tufume;;;;;;;;;;;;;x
miegpaup;Miegpaup;;;;;;;;;;;;;x
yamoujoy;Yamoujoy;;;;;;;;;;;;;x
bogoran;Bogoran;;;;;;;;;;;;;x
gopza;Gopza;;;;;;;;;;;;;x
uttobanhu;Uttobanhu;;;;;;;;;;;;;x
roshupt;Roshupt;;;;;;;;;;;;;x
maumoujoy;Maumoujoy;;;;;;;;;;;;;x
shamush;Shamush;;;;;;;;;;;;;x
ihnpedi;Ihnpedi;;;;;;;;;;;;;x
ogrehi;Ogrehi;;;;;;;;;;;;;x
kova;Kova;;;;;;;;;;;;;x
biori;Biori;;;;;;;;;;;;;x
bukhegi;Bukhegi;;;;;;;;;;;;;x
pugure;Pugure;;;;;;;;;;;;;x
yattae;Yattae;;;;;;;;;;;;;x
cavalry;Swinery;;;;;;;;;;;;;x
hussar;Swinery Gunner;;;;;;;;;;;;;x
dragoon;Swinery Lancer;;;;;;;;;;;;;x
cuirassier;Swinery Raider;;;;;;;;;;;;;x
aucubhur;Aucubhur;;;;;;;;;;;;;x
aucbocharr;Aucbocharr;;;;;;;;;;;;;x
bhukhegi;Bhukhegi;;;;;;;;;;;;;x
jigubi;Jigubi;;;;;;;;;;;;;x
ngoghu;Ngoghu;;;;;;;;;;;;;x
princely_despotate_ruler;My Lord;;;;;;;;;;;;;x
aristocratic_commonwealth_ruler;Lord Minister;;;;;;;;;;;;;x
theocracy_ruler;High Priest;;;;;;;;;;;;;x
sublime_synod_ruler;Pontifex;;;;;;;;;;;;;x
paternalistic_council_ruler;Lord Protector;;;;;;;;;;;;;x
statist_bureaucracy_ruler;Premier;;;;;;;;;;;;;x
pastoral_confederacy_ruler;Brother;;;;;;;;;;;;;x
grand_syndicate_ruler;Grandmaster;;;;;;;;;;;;;x
engineer;Sapper;;;;;;;;;;;;;x
guard;Forayer;;;;;;;;;;;;;x
HOLD_ELECTION_BUTTON;Hold Election;;;;;;;;;;;;;x
rechktist;Rechktist;;;;;;;;;;;;;x
soxuppapi;Soxuppapi;;;;;;;;;;;;;x
momurist;Momurist;;;;;;;;;;;;;x
paorusu;Paorusu;;;;;;;;;;;;;x
kwargoi;Kwargoi;;;;;;;;;;;;;x
rozhyu;Rozhyu;;;;;;;;;;;;;x
humabi;Humabi;;;;;;;;;;;;;x
teong;Teong;;;;;;;;;;;;;x
dexun;Dexun;;;;;;;;;;;;;x
fenag;Fenag;;;;;;;;;;;;;x
babi;Babi;;;;;;;;;;;;;x
tingi;Tingi;;;;;;;;;;;;;x
teong;Teong;;;;;;;;;;;;;x
small_island;Small Island;;;;;;;;;;;;;x
gert;Gert;;;;;;;;;;;;;x
poussan;Poussan;;;;;;;;;;;;;x
gior;Gior;;;;;;;;;;;;;x
piok;Piok;;;;;;;;;;;;;x
assatiog;Assatiog;;;;;;;;;;;;;x
bauchir;Bauchir;;;;;;;;;;;;;x
gengugemeg;Gengugemeg;;;;;;;;;;;;;x
bogurg;Bogurg;;;;;;;;;;;;;x
coebeju;Coebeju;;;;;;;;;;;;;x
bofungi;Bofungi;;;;;;;;;;;;;x
unaian;Unaian;;;;;;;;;;;;;x
free_yoker;Free-Yoker;;;;;;;;;;;;;x
liberationist;Liberationist;;;;;;;;;;;;;x
statist;Statist;;;;;;;;;;;;;x
absolutist;Absolutist;;;;;;;;;;;;;x
theocratist;Theocratist;;;;;;;;;;;;;x
POLITICS_MILITARY_REFORMS;Political Reforms;;;;;;;;;;;;;x
fiscal_institutions;Fiscal Institutions;;;;;;;;;;;;;x
sovereign_proprietry;Proprietary of Sovereign;;;;;;;;;;;;;x
sovereign_proprietry_desc;The trearusy is an extension of the household of the soveriegn.;;;;;;;;;;;;;x
royal_exchequer;Royal Exchequer;;;;;;;;;;;;;x
royal_exchequer_desc;The royal exchequer is a seperate department in the government.;;;;;;;;;;;;;x
regional_government;Regional Government;;;;;;;;;;;;;x
local_estates;Local Estates;;;;;;;;;;;;;x
local_estates_desc;Much of local governance is left to local estates with quasi-soviergn rights.;;;;;;;;;;;;;x
intendants_system;Intendants System;;;;;;;;;;;;;x
intendants_system_desc;The power of local elites are abridged by supervisiory intendants.;;;;;;;;;;;;;x
legal_system;Legal System;;;;;;;;;;;;;x
customary_law;Customary Law;;;;;;;;;;;;;x
customary_law_desc;Most law remains customary and uncodified, enforced by social pressures and ad hoc relations.;;;;;;;;;;;;;x
sitting_courts;Sitting Courts;;;;;;;;;;;;;x
sitting_courts_desc;The government now maintains sitting courts for the maintinence of the law.;;;;;;;;;;;;;x
military_leadership;Military Leadership;;;;;;;;;;;;;x
private_command;Private Command;;;;;;;;;;;;;x
private_command_desc;Most military leaders maintain a private and personal relationship with their soldiers, beyond state conrtol.;;;;;;;;;;;;;x
officer_class;Officer Class;;;;;;;;;;;;;x
officer_class_desc;There is a professional officer class with a culture of responsibility for the purposes of directing soldiers.;;;;;;;;;;;;;x
army_structure;Army Structure;;;;;;;;;;;;;x
war_parties;War Parties;;;;;;;;;;;;;x
war_parties_desc;Most organised armies are ad hoc war parties or mercanary bands organised for the sake of a campaign.;;;;;;;;;;;;;x
standing_army;Standing Army;;;;;;;;;;;;;x
standing_army_desc;The state pays for the maintinence of a regular standing army for defense and offense.;;;;;;;;;;;;;x
courtly_ritual;Courtly Ritual;;;;;;;;;;;;;x
ad_hoc_assembly;Ad-Hoc Assembly;;;;;;;;;;;;;x
ad_hoc_assembly_desc;The royal court only assembles on ex tempore occasions.;;;;;;;;;;;;;x
royal_audiences;Royal Audiences;;;;;;;;;;;;;x
royal_audiences_desc;The government maintains regular royal audiences for the purposes of governance.;;;;;;;;;;;;;x
municipal_law;Municipal Law;;;;;;;;;;;;;x
no_legal_status;No Legal Status;;;;;;;;;;;;;x
no_legal_status_desc;Towns and cities have no privlieged legal status.;;;;;;;;;;;;;x
town_charters;Town Charters;;;;;;;;;;;;;x
town_charters_desc;Towns and cities have been granted special legal protections.;;;;;;;;;;;;;x
census_law;Census;;;;;;;;;;;;;x
no_census;No Census;;;;;;;;;;;;;x
no_census_desc;There is no census carried out by the state.;;;;;;;;;;;;;x
irregular_census;Irregular Census;;;;;;;;;;;;;x
irregular_census_desc;The state has the bureaucratic machinery to carry out an irregular census.;;;;;;;;;;;;;x
freedom_of_movement;Freedom of Movement;;;;;;;;;;;;;x
unfettered_movement;Unfettered Movement;;;;;;;;;;;;;x
unfettered_movement_desc;Subjects and residents are able to move as they will.;;;;;;;;;;;;;x
movement_restricted;Movement Restricted;;;;;;;;;;;;;x
movement_restricted_desc;The state has passed numerous laws to restrict movement of subjects and residents.;;;;;;;;;;;;;x
property_law;Property Law;;;;;;;;;;;;;x
ad_hoc_property_laws;Ad-Hoc Property Laws;;;;;;;;;;;;;x
ad_hoc_property_laws_desc;Most property laws are only loosely enforced by regional authorities.;;;;;;;;;;;;;x
writs_of_the_state;Writs of the State;;;;;;;;;;;;;x
writs_of_the_state_desc;All property is guaranteed by royal writs.;;;;;;;;;;;;;x
agricultural_methods;Agricultural Methods;;;;;;;;;;;;;x
ad_hoc_farming;Ad-Hoc Farming;;;;;;;;;;;;;x
ad_hoc_farming_desc;Most farming is done on an ad hoc basis in common fields.;;;;;;;;;;;;;x
crop_rotation;Crop Rotation;;;;;;;;;;;;;x
crop_rotation_desc;The principles of crop rotation and fallowing are widely understood and socially enforced.;;;;;;;;;;;;;x
metallurgy_law;Metallurgy;;;;;;;;;;;;;x
bog_iron_harvesting;Bog Iron Harvesting;;;;;;;;;;;;;x
bog_iron_harvesting_desc;Most iron sources are irregular and shallow, such as bog iron harvesting or surface quarries.;;;;;;;;;;;;;x
village_smithies;Village Smithies;;;;;;;;;;;;;x
village_smithies_desc;Metallurgical pratices are widely understood and iron is very accessable, such that even small villages maintain smithies.;;;;;;;;;;;;;x
record_keeping;Record-Keeping;;;;;;;;;;;;;x
chroniclers;Chroniclers;;;;;;;;;;;;;x
chroniclers_desc;Much record keeping is done by monastic and idiosyncratic chroniclers.;;;;;;;;;;;;;x
rudimentary_records;Rudimentary Records;;;;;;;;;;;;;x
rudimentary_records_desc;The state maintains a rudimentary records office with professional scribes.;;;;;;;;;;;;;x
education_law;Education;;;;;;;;;;;;;x
inherited_wisdom;Inherited Wisdom;;;;;;;;;;;;;x #Elder's Promise
inherited_wisdom_desc;Much education is done by elders and parochial authorities;;;;;;;;;;;;;x #Elder's Promise
clerical_education;Clerical Education;;;;;;;;;;;;;x
clerical_education_desc;Standardised cirricula organised by clerical instituions serves to perserve much knowledge and train effective civil servants.;;;;;;;;;;;;;x
currency_law;Currency;;;;;;;;;;;;;x
barter_system;Barter System;;;;;;;;;;;;;x
barter_system_desc;Most local and long distance trade is done by means of clumsy barter.;;;;;;;;;;;;;x
unregulated_bullion;Unregulated Bullion;;;;;;;;;;;;;x
